Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
SCOPE: self-adaptive and policy-based data management middleware for federated clouds,Journal of Internet Services and Applications,,,,10.1186/s13174-018-0101-8,Ansar RafiqueDimitri Van LanduytEddy TruyenVincent ReniersWouter Joosen,2019,https://link.springer.com/article/10.1186/s13174-018-0101-8,Article
Principles governing the integration of landmark and self-motion cues in entorhinal cortical codes for navigation,Nature Neuroscience,,,,10.1038/s41593-018-0189-y,Malcolm G. CampbellSamuel A. OckoCaitlin S. MalloryIsabel I. C. LowSurya GanguliLisa M. Giocomo,2018,https://link.springer.com/article/10.1038/s41593-018-0189-y,Article
Ensuring performance and provider profit through data replication in cloud systems,Cluster Computing,,,,10.1007/s10586-017-1507-y,Uras TosRiad MokademAbdelkader HameurlainTolga AyavSebnem Bora,2017,https://link.springer.com/article/10.1007/s10586-017-1507-y,Article
Interviews and Case Studies,Achieving DevOps,,,,10.1007/978-1-4842-4388-6_9,Dave HarrisonKnox Lively,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4388-6_9,Chapter
Cost-aware horizontal scaling of NoSQL databases using probabilistic model checking,Cluster Computing,,,,10.1007/s10586-017-0816-5,Athanasios NaskosAnastasios GounarisPanagiotis Katsaros,2017,https://link.springer.com/article/10.1007/s10586-017-0816-5,Article
Cloud Elasticity: A Survey,Algorithmic Aspects of Cloud Computing,,,,10.1007/978-3-319-29919-8_12,Athanasios NaskosAnastasios GounarisSpyros Sioutas,2016,https://link.springer.com/chapter/10.1007/978-3-319-29919-8_12,Conference paper
Related Work,Multi Tenancy for Cloud-Based In-Memory Column Databases,,,,10.1007/978-3-319-00497-6_7,Jan Schaffner,2014,https://link.springer.com/chapter/10.1007/978-3-319-00497-6_7,Chapter
Quality of experience in distributed databases,Distributed and Parallel Databases,,,,10.1007/s10619-011-7083-x,Rogério Luís de Carvalho CostaPedro Furtado,2011,https://link.springer.com/article/10.1007/s10619-011-7083-x,Article
Energetic Path Finding across Massive Terrain Data,Advances in Visual Computing,,,,10.1007/978-3-642-10520-3_84,Andrew TsuiZoë Wood,2009,https://link.springer.com/chapter/10.1007/978-3-642-10520-3_84,Conference paper
QoS-Oriented Reputation-Aware Query Scheduling in Data Grids,Euro-Par 2008 – Parallel Processing,,,,10.1007/978-3-540-85451-7_53,Rogério Luís de Carvalho CostaPedro Furtado,2008,https://link.springer.com/chapter/10.1007/978-3-540-85451-7_53,Conference paper
Die aktuellen Regelungen auf internationaler Ebene,Haftung und Entschädigung nach Tankerunfällen auf See,,,,10.1007/978-3-540-47215-5_2,,2007,https://link.springer.com/chapter/10.1007/978-3-540-47215-5_2,Chapter
DECO: Data Replication and Execution CO-scheduling for Utility Grids,Service-Oriented Computing – ICSOC 2006,,,,10.1007/11948148_5,Vikas AgarwalGargi DasguptaKoustuv DasguptaAmit PurohitBalaji Viswanathan,2006,https://link.springer.com/chapter/10.1007/11948148_5,Conference paper
Poster Session III,Neuropsychopharmacology,,,,10.1038/sj.npp.1300648,,2004,https://link.springer.com/article/10.1038/sj.npp.1300648,Article
What if model checking must be truly symbolic,Correct Hardware Design and Verification Methods,,,,10.1007/3-540-60385-9_1,Hardi HungarOrna GrumbergWerner Damm,1995,https://link.springer.com/chapter/10.1007/3-540-60385-9_1,Conference paper
G,Springer Umweltlexikon,,,,10.1007/978-3-642-97335-2_7,Müfit BahadirHarun ParlarMichael Spiteller,1995,https://link.springer.com/chapter/10.1007/978-3-642-97335-2_7,Chapter
Gefahrgut- und Unfall-Informations-Systeme,Gefährliche Güter,,,,10.1007/978-3-662-07396-4_13,Heinz Dorias,1984,https://link.springer.com/chapter/10.1007/978-3-662-07396-4_13,Chapter
