Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Design and Development of Digital Intelligent Fracturing Platform,Proceedings of the International Field Exploration and Development Conference 2022,,,,10.1007/978-981-99-1964-2_609,Long ChaiXinrong ZhongFei Chen,2023,https://link.springer.com/chapter/10.1007/978-981-99-1964-2_609,Conference paper
Docker,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_9,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_9,Chapter
Accretion Onto Supermassive Black Hole Binaries,New Frontiers in GRMHD Simulations,,,,10.1007/978-981-97-8522-3_14,Eduardo M. GutiérrezLuciano CombiGeoffrey Ryan,2025,https://link.springer.com/chapter/10.1007/978-981-97-8522-3_14,Chapter
Human brain MRI data of intrathecally injected tracer evolution over 72 hours for data-integrated simulations,Scientific Data,,,,10.1038/s41597-026-06564-1,Jørgen N. RisethTimo KochSofie Lysholm LianTryggve Holck StoråsLudmil T. ZikatanovLars Magnus ValnesKaja NordengenKent-André Mardal,2026,https://link.springer.com/article/10.1038/s41597-026-06564-1,Article
Prediction and optimization method for welding quality of components in ship construction,Scientific Reports,,,,10.1038/s41598-024-59490-w,Jinfeng LiuYifa ChengXuwen JingXiaojun LiuYu Chen,2024,https://link.springer.com/article/10.1038/s41598-024-59490-w,Article
Application Architecture,Introducing .NET 6,,,,10.1007/978-1-4842-7319-7_9,Nico Vermeir,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7319-7_9,Chapter
Multi-model hydrological reference dataset over continental Europe and an African basin,Scientific Data,,,,10.1038/s41597-024-03825-9,Bram DroppersOldrich RakovecLeandro AvilaShima AzimiNicolás Cortés-TorresDavid De León PérezRuben ImhoffFélix FrancésStefan KolletRiccardo RigonAlbrecht WeertsLuis Samaniego,2024,https://link.springer.com/article/10.1038/s41597-024-03825-9,Article
Stellar Magnetic Fields,Cosmic Magnetic Fields,,,,10.1007/3540313966_8,Leon MestelJohn D. Landstreet,,https://link.springer.com/chapter/10.1007/3540313966_8,Chapter
A Near-Production Azure-Based Java Application,Microsoft Azure for Java Developers,,,,10.1007/978-1-4842-8251-9_15,Abhishek Mishra,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8251-9_15,Chapter
A digital twin defined autonomous milling process towards the online optimal control of milling deformation for thin-walled parts,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-022-10667-5,Chao ZhangGuanghui ZhouQingfeng XuZhibo WeiChong HanZenghui Wang,2022,https://link.springer.com/article/10.1007/s00170-022-10667-5,Article
Data-Driven Intelligence Empowers Next-Generation Aircraft Engine Innovation,Digital Intelligent Aeroengine,,,,10.1007/978-981-95-0942-3_9,Quanyong XuJiali YangWenyu CaoZhongzhi HuAi HeKai Liu,2026,https://link.springer.com/chapter/10.1007/978-981-95-0942-3_9,Chapter
Numerical modelling of dissolved aluminium dispersion from floating wind farm cathodic protection in the gulf of lion,Ocean Dynamics,,,,10.1007/s10236-025-01730-2,Nicolas MicheletVincent FaureMatthieu DussauzeChristelle CaplatGeorges Safi,2025,https://link.springer.com/article/10.1007/s10236-025-01730-2,Article
"Nondeterminism in Interactive Markov Chains, with Application to the Erlangen Mainframe",Principles of Formal Quantitative Analysis,,,,10.1007/978-3-031-97439-7_2,Hubert GaravelHolger Hermanns,2026,https://link.springer.com/chapter/10.1007/978-3-031-97439-7_2,Chapter
Source code vulnerability detection based on deep learning: a review,Cybersecurity,,,,10.1186/s42400-025-00518-7,Huading SuZhen XuYan ZhangQian Tan,2026,https://link.springer.com/article/10.1186/s42400-025-00518-7,Article
Modern IT Infrastructure and Hello App,Ansible for Kubernetes by Example,,,,10.1007/978-1-4842-9285-3_1,Luca Berton,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9285-3_1,Chapter
Enhancing secure IoT data sharing through dynamic Q-learning and blockchain at the edge,Scientific Reports,,,,10.1038/s41598-025-24510-w,Mustafa BayatMohammad Ali Jabraeil JamaliMahdi AbbasiBabak AnariShahin Akbarpour,2025,https://link.springer.com/article/10.1038/s41598-025-24510-w,Article
A stealing mechanism for delegation methods,The Journal of Supercomputing,,,,10.1007/s11227-021-03719-2,Zhengming YiYiping Yao,2021,https://link.springer.com/article/10.1007/s11227-021-03719-2,Article
Build Relational and Non-Relational Data Solutions on Azure,Modern Data Architecture on Azure,,,,10.1007/978-1-4842-9760-5_2,Sagar Lad,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9760-5_2,Chapter
A survey of safety and trustworthiness of large language models through the lens of verification and validation,Artificial Intelligence Review,,,,10.1007/s10462-024-10824-0,Xiaowei HuangWenjie RuanWei HuangGaojie JinYi DongChangshun WuSaddek BensalemRonghui MuYi QiXingyu ZhaoKaiwen CaiYanghao ZhangSihao WuPeipei XuDengyu WuAndre FreitasMustafa A. Mustafa,2024,https://link.springer.com/article/10.1007/s10462-024-10824-0,Article
Infrastructure RCA,Observability For Legacy Systems,,,,10.1007/979-8-8688-1688-8_6,Hyen Seuk Jeong,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1688-8_6,Chapter
Comparative analysis of Microsoft Kinect Azure and manual measurement methods in the sit and reach test among elite female weightlifters,Scientific Reports,,,,10.1038/s41598-025-09754-w,Usame Ömer OsmanoğluKenan ErdağiBülent IŞIKSerkan ÖrücüErkan Özbay,2025,https://link.springer.com/article/10.1038/s41598-025-09754-w,Article
"A parsimonious, computationally efficient machine learning method for spatial regression",Stochastic Environmental Research and Risk Assessment,,,,10.1007/s00477-023-02656-1,Milan ŽukovičDionissios T. Hristopulos,2024,https://link.springer.com/article/10.1007/s00477-023-02656-1,Article
Solid-State Materials for Few-Cycle Pulse Generation and Amplification,Few-Cycle Laser Pulse Generation and Its Applications,,,,10.1007/978-3-540-39849-3_1,Evgeni Sorokin,,https://link.springer.com/chapter/10.1007/978-3-540-39849-3_1,Chapter
Conflict-Free Replicated Data Types (CRDTs),Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-63962-8_185-2,Nuno PreguiçaCarlos BaqueroMarc Shapiro,2022,https://link.springer.com/rwe/10.1007/978-3-319-63962-8_185-2,Living reference work entry
"Design, Development, and Analysis of Ultrasonic Fall Rate Measuring System for Primary Pressure Standard",Journal of The Institution of Engineers (India): Series C,,,,10.1007/s40032-023-01019-7,Rahul KumarKalpana YadavP. K. DubeyAfaqul ZaferAshok KumarSanjay Yadav,2024,https://link.springer.com/article/10.1007/s40032-023-01019-7,Article
Workflow Orchestration with Apache Airflow,Modern Data Engineering with Apache Spark,,,,10.1007/978-1-4842-7452-1_8,Scott Haines,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7452-1_8,Chapter
Integration and Data,Building Enterprise IoT Solutions with Eclipse IoT Technologies,,,,10.1007/978-1-4842-8882-5_13,Frédéric Desbiens,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8882-5_13,Chapter
A novel spatio-temporal trajectory data-driven development approach for autonomous vehicles,Frontiers of Earth Science,,,,10.1007/s11707-021-0938-1,Menghan ZhangMingjun MaJingying ZhangMingzhuo ZhangBo LiDehui Du,2021,https://link.springer.com/article/10.1007/s11707-021-0938-1,Article
Work with Azure Cosmos DB,Microsoft Azure for Java Developers,,,,10.1007/978-1-4842-8251-9_8,Abhishek Mishra,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8251-9_8,Chapter
Architectures for Machine Learning,Handbook of Computer Architecture,,,,10.1007/978-981-97-9314-3_12,Yongkui YangChao ChenZheng Wang,2025,https://link.springer.com/rwe/10.1007/978-981-97-9314-3_12,Reference work entry
SMT-Based Planning Synthesis for Distributed System Reconfigurations,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-030-99429-7_15,Simon RobillardHélène Coullon,2022,https://link.springer.com/chapter/10.1007/978-3-030-99429-7_15,Conference paper
2PC*: a distributed transaction concurrency control protocol of multi-microservice based on cloud computing platform,Journal of Cloud Computing,,,,10.1186/s13677-020-00183-w,Pan FanJing LiuWei YinHui WangXiaohong ChenHaiying Sun,2020,https://link.springer.com/article/10.1186/s13677-020-00183-w,Article
Essential Theory,Shared-Memory Synchronization,,,,10.1007/978-3-031-38684-8_3,Michael L. ScottTrevor Brown,2024,https://link.springer.com/chapter/10.1007/978-3-031-38684-8_3,Chapter
CEPC Technical Design Report: Accelerator,Radiation Detection Technology and Methods,,,,10.1007/s41605-024-00463-y,Jie Gao,2024,https://link.springer.com/article/10.1007/s41605-024-00463-y,Article
Quantum-Dot Lasers,Single Quantum Dots,,,,10.1007/978-3-540-39180-7_5,Heinz SchweizerMichael JetterFerdinand Scholz,,https://link.springer.com/chapter/10.1007/978-3-540-39180-7_5,Chapter
Getting Started with Java Development for Azure,Microsoft Azure for Java Developers,,,,10.1007/978-1-4842-8251-9_1,Abhishek Mishra,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8251-9_1,Chapter
Data Ingestion for AI,Productionizing AI,,,,10.1007/978-1-4842-8817-7_3,Barry Walsh,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8817-7_3,Chapter
A Divide &amp; Conquer Approach to Testing Concurrent Java Programs with JPF and&#xa0;Maude,Structured Object-Oriented Formal Language and Method,,,,10.1007/978-3-030-41418-4_4,Canh Minh DoKazuhiro Ogata,2020,https://link.springer.com/chapter/10.1007/978-3-030-41418-4_4,Conference paper
Artificial neural network modeling of rotary flow around a permeable sphere in Jeffrey fluid with magnetic field effects,International Journal of Mechanics and Materials in Design,,,,10.1007/s10999-026-09871-y,P. AparnaM. Pavan Kumar ReddyRajani IndrakantiMD. ShamshuddinV. Ganesh Kumar,2026,https://link.springer.com/article/10.1007/s10999-026-09871-y,Article
Understanding the 2016–2018 Freshening Dynamics of the Beaufort Gyre Through Observations and Model Reanalysis,Remote Sensing in Earth Systems Sciences,,,,10.1007/s41976-025-00269-6,Christina GregoryGanesh GopalakrishnanBulusu Subrahmanyam,2026,https://link.springer.com/article/10.1007/s41976-025-00269-6,Article
Autoscaling tiered cloud storage in Anna,The VLDB Journal,,,,10.1007/s00778-020-00632-7,Chenggang WuVikram SreekantiJoseph M. Hellerstein,2020,https://link.springer.com/article/10.1007/s00778-020-00632-7,Article
AI and BA Platforms,Artificial Intelligence for Business Analytics,,,,10.1007/978-3-658-37599-7_3,Felix Weber,2023,https://link.springer.com/chapter/10.1007/978-3-658-37599-7_3,Chapter
A Real-Time Review of Social Health Protection and Health Informatics Support for COVID-19 Outbreak,Healthcare Informatics for Fighting COVID-19 and Future Epidemics,,,,10.1007/978-3-030-72752-9_2,Chokri ArfaIlker DastanKamel BarkaouiBorgi Taoufik,2022,https://link.springer.com/chapter/10.1007/978-3-030-72752-9_2,Chapter
