Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Research of Benchmarking and Selection for TSDB,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-3-030-38961-1_54,Feng YeZihao LiuSongjie ZhuPeng ZhangYong Chen,2020,https://link.springer.com/chapter/10.1007/978-3-030-38961-1_54,Conference paper
Pruning in Map-Reduce Style CbO Algorithms,Ontologies and Concepts in Mind and Machine,,,,10.1007/978-3-030-57855-8_8,Jan KonecnyPetr Krajča,2020,https://link.springer.com/chapter/10.1007/978-3-030-57855-8_8,Conference paper
New solutions for exposing clustered applications deployed in the cloud,Cluster Computing,,,,10.1007/s10586-018-2850-3,Sebastian ŁaskawiecMichał ChoraśRafał Kozik,2018,https://link.springer.com/article/10.1007/s10586-018-2850-3,Article
Auto-scaling techniques for IoT-based cloud applications: a review,Cluster Computing,,,,10.1007/s10586-021-03265-9,Shveta VermaAnju Bala,2021,https://link.springer.com/article/10.1007/s10586-021-03265-9,Article
A visual big data system for the prediction of weather-related variables: Jordan-Spain case study,Multimedia Tools and Applications,,,,10.1007/s11042-020-09848-9,Shadi AljawarnehJuan A. LaraMuneer Bani Yassein,2020,https://link.springer.com/article/10.1007/s11042-020-09848-9,Article
Research of CouchDB Storage Plugin for Big Data Query Engine Apache Drill,Big Data,,,,10.1007/978-981-15-1899-7_16,Yulei LiaoLiang Tan,2019,https://link.springer.com/chapter/10.1007/978-981-15-1899-7_16,Conference paper
Architectural assessment of NoSQL and NewSQL systems,Distributed and Parallel Databases,,,,10.1007/s10619-020-07310-1,Natalia ChaudhryMuhammad Murtaza Yousaf,2020,https://link.springer.com/article/10.1007/s10619-020-07310-1,Article
On-demand big data integration,Distributed and Parallel Databases,,,,10.1007/s10619-018-7248-y,Pradeeban KathiraveluAshish SharmaHelena GalhardasPeter Van RoyLuís Veiga,2018,https://link.springer.com/article/10.1007/s10619-018-7248-y,Article
Manufacturing process data analysis pipelines: a requirements analysis and survey,Journal of Big Data,,,,10.1186/s40537-018-0162-3,Ahmed IsmailHong-Linh TruongWolfgang Kastner,2019,https://link.springer.com/article/10.1186/s40537-018-0162-3,Article
Caching in Research and Industry,Fast and Scalable Cloud Data Management,,,,10.1007/978-3-030-43506-6_5,Felix GessertWolfram WingerathNorbert Ritter,2020,https://link.springer.com/chapter/10.1007/978-3-030-43506-6_5,Chapter
Benchmarking and Performance Analysis for Distributed Cache Systems: A Comparative Case Study,Performance Evaluation and Benchmarking for the Analytics Era,,,,10.1007/978-3-319-72401-0_11,Haytham SalhiFeras OdehRabee NasserAdel Taweel,2018,https://link.springer.com/chapter/10.1007/978-3-319-72401-0_11,Conference paper
A Survey on Cloud Computing Simulation and Modeling,SN Computer Science,,,,10.1007/s42979-020-00273-1,Ilyas Bambrik,2020,https://link.springer.com/article/10.1007/s42979-020-00273-1,Article
Fault-Tolerance in XJAF Agent Middleware,Transactions on Computational Collective Intelligence XXX,,,,10.1007/978-3-319-99810-7_11,Mirjana IvanovićJovana IvkovićMilan VidakovićCostin Bădică,2018,https://link.springer.com/chapter/10.1007/978-3-319-99810-7_11,Chapter
Big Data Collection and Correlation Analysis of Wireless Sensor Networks Yielding to Target Detection and Classification,Proceedings of International Conference on Computational Intelligence and Data Engineering,,,,10.1007/978-981-10-6319-0_18,M. GiriS. Jyothi,2018,https://link.springer.com/chapter/10.1007/978-981-10-6319-0_18,Conference paper
Supporting SOA Resilience in Virtual Enterprises,Collaborative Networks of Cognitive Systems,,,,10.1007/978-3-319-99127-6_10,Roque O. BezerraRicardo J. RabeloMaiara H. Cancian,2018,https://link.springer.com/chapter/10.1007/978-3-319-99127-6_10,Conference paper
Network Resilience in Virtualized Architectures,Interactive Mobile Communication Technologies and Learning,,,,10.1007/978-3-319-75175-7_81,Diomidis S. MichalopoulosBorislava GajicBeatriz Gallego-Nicasio CrespoAravinthan GopalasinghamJakob Belschner,2018,https://link.springer.com/chapter/10.1007/978-3-319-75175-7_81,Conference paper
Considering Service Name Indication for Multi-tenancy Routing in Cloud Environments,Image Processing and Communications Challenges 8,,,,10.1007/978-3-319-47274-4_33,Sebastian ŁaskawiecMichał Choraś,2017,https://link.springer.com/chapter/10.1007/978-3-319-47274-4_33,Conference paper
Big Data Analytics: A Review on Theoretical Contributions and Tools Used in Literature,Global Journal of Flexible Systems Management,,,,10.1007/s40171-017-0159-3,Purva GroverArpan Kumar Kar,2017,https://link.springer.com/article/10.1007/s40171-017-0159-3,Article
On-Demand Service-Based Big Data Integration: Optimized for Research Collaboration,Data Management and Analytics for Medicine and Healthcare,,,,10.1007/978-3-319-67186-4_2,Pradeeban KathiraveluYiru ChenAshish SharmaHelena GalhardasPeter Van RoyLuís Veiga,2017,https://link.springer.com/chapter/10.1007/978-3-319-67186-4_2,Conference paper
A scalable distributed architecture for client and server-side software agents,Vietnam Journal of Computer Science,,,,10.1007/s40595-016-0083-z,Mirjana IvanovićMilan VidakovićZoran BudimacDejan Mitrović,2016,https://link.springer.com/article/10.1007/s40595-016-0083-z,Article
Selective Redundancy in Network-as-a-Service: Differentiated QoS in Multi-tenant Clouds,On the Move to Meaningful Internet Systems: OTM 2016 Workshops,,,,10.1007/978-3-319-55961-2_9,Pradeeban KathiraveluLuís Veiga,2017,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_9,Conference paper
Cost-aware horizontal scaling of NoSQL databases using probabilistic model checking,Cluster Computing,,,,10.1007/s10586-017-0816-5,Athanasios NaskosAnastasios GounarisPanagiotis Katsaros,2017,https://link.springer.com/article/10.1007/s10586-017-0816-5,Article
A Dynamic Data Warehousing Platform for Creating and Accessing Biomedical Data Lakes,Data Management and Analytics for Medicine and Healthcare,,,,10.1007/978-3-319-57741-8_7,Pradeeban KathiraveluAshish Sharma,2017,https://link.springer.com/chapter/10.1007/978-3-319-57741-8_7,Conference paper
Leaving the Relational Database Behind: NoSQL,Beginning Hibernate,,,,10.1007/978-1-4842-2319-2_12,Joseph B. OttingerJeff LinwoodDave Minter,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2319-2_12,Chapter
Object-NoSQL Database Mappers: a benchmark study on the performance overhead,Journal of Internet Services and Applications,,,,10.1186/s13174-016-0052-x,Vincent ReniersAnsar RafiqueDimitri Van LanduytWouter Joosen,2017,https://link.springer.com/article/10.1186/s13174-016-0052-x,Article
Software-Defined Simulations for Continuous Development of Cloud and Data Center Networks,On the Move to Meaningful Internet Systems: OTM 2016 Conferences,,,,10.1007/978-3-319-48472-3_1,Pradeeban KathiraveluLuís Veiga,2016,https://link.springer.com/chapter/10.1007/978-3-319-48472-3_1,Conference paper
A Recent Study of Emerging Tools and Technologies Boosting Big Data Analytics,Innovations in Computer Science and Engineering,,,,10.1007/978-981-10-0419-3_4,Govind PolePradeepini Gera,2016,https://link.springer.com/chapter/10.1007/978-981-10-0419-3_4,Conference paper
Cloud Elasticity: A Survey,Algorithmic Aspects of Cloud Computing,,,,10.1007/978-3-319-29919-8_12,Athanasios NaskosAnastasios GounarisSpyros Sioutas,2016,https://link.springer.com/chapter/10.1007/978-3-319-29919-8_12,Conference paper
Best Practices and Advanced Techniques,Spring Persistence with Hibernate,,,,10.1007/978-1-4842-0268-5_8,Paul FisherBrian D. Murphy,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0268-5_8,Chapter
Using the Session,Beginning Hibernate,,,,10.1007/978-1-4842-2319-2_8,Joseph B. OttingerJeff LinwoodDave Minter,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2319-2_8,Chapter
Multi-modal Similarity Retrieval with Distributed Key-value Store,Mobile Networks and Applications,,,,10.1007/s11036-014-0561-4,David Novak,2015,https://link.springer.com/article/10.1007/s11036-014-0561-4,Article
Multi-modal Similarity Retrieval with a Shared Distributed Data Store,Scalable Information Systems,,,,10.1007/978-3-319-16868-5_3,David Novak,2015,https://link.springer.com/chapter/10.1007/978-3-319-16868-5_3,Conference paper
$$\partial u\partial u$$ Multi-Tenanted Framework: Distributed Near Duplicate Detection for Big Data,On the Move to Meaningful Internet Systems: OTM 2015 Conferences,,,,10.1007/978-3-319-26148-5_14,Pradeeban KathiraveluHelena GalhardasLuís Veiga,2015,https://link.springer.com/chapter/10.1007/978-3-319-26148-5_14,Conference paper
Caching in Hibernate,Hibernate Recipes,,,,10.1007/978-1-4842-0127-5_12,Joseph OttingerSrinivas GuruzuGary Mak,2015,https://link.springer.com/chapter/10.1007/978-1-4842-0127-5_12,Chapter
Estimating the Implementation Risk of Requirements in Agile Software Development Projects with Traceability Metrics,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-319-16101-3_6,Patrick RempelPatrick Mäder,2015,https://link.springer.com/chapter/10.1007/978-3-319-16101-3_6,Conference paper
Ready-to-Go Solutions,Cloud Portability and Interoperability,,,,10.1007/978-3-319-13701-8_4,Beniamino Di MartinoGiuseppina CretellaAntonio Esposito,2015,https://link.springer.com/chapter/10.1007/978-3-319-13701-8_4,Chapter
Leaving the Relational Database Behind: NoSQL,Beginning Hibernate,,,,10.1007/978-1-4302-6518-4_12,Joseph B. OttingerDave MinterJeff Linwood,2014,https://link.springer.com/chapter/10.1007/978-1-4302-6518-4_12,Chapter
Extensible Java EE-based Agent Framework in Clustered Environments,Multiagent System Technologies,,,,10.1007/978-3-319-11584-9_14,Dejan MitrovićMirjana IvanovićMilan VidakovićZoran Budimac,2014,https://link.springer.com/chapter/10.1007/978-3-319-11584-9_14,Conference paper
Identifying the optimal level of parallelism in transactional memory applications,Computing,,,,10.1007/s00607-013-0376-3,Diego DidonaPascal FelberDerin HarmanciPaolo RomanoJörg Schenker,2013,https://link.springer.com/article/10.1007/s00607-013-0376-3,Article
Using the Session,Beginning Hibernate,,,,10.1007/978-1-4302-6518-4_8,Joseph B. OttingerDave MinterJeff Linwood,2014,https://link.springer.com/chapter/10.1007/978-1-4302-6518-4_8,Chapter
Getting Started with Hibernate OGM,Pro Hibernate and MongoDB,,,,10.1007/978-1-4302-5795-0_1,Anghel Leonard,2013,https://link.springer.com/chapter/10.1007/978-1-4302-5795-0_1,Chapter
Bootstrapping Hibernate OGM,Pro Hibernate and MongoDB,,,,10.1007/978-1-4302-5795-0_3,Anghel Leonard,2013,https://link.springer.com/chapter/10.1007/978-1-4302-5795-0_3,Chapter
The Building Blocks of a PaaS,Journal of Network and Systems Management,,,,10.1007/s10922-012-9260-2,Cláudio TeixeiraJoaquim Sousa PintoRicardo AzevedoTiago BatistaAndré Monteiro,2013,https://link.springer.com/article/10.1007/s10922-012-9260-2,Article
Identifying the Optimal Level of Parallelism in Transactional Memory Applications,Networked Systems,,,,10.1007/978-3-642-40148-0_17,Diego DidonaPascal FelberDerin HarmanciPaolo RomanoJörg Schenker,2013,https://link.springer.com/chapter/10.1007/978-3-642-40148-0_17,Conference paper
"Extracting Value From Big Data: In-Memory Solutions, Real Time Analytics, And Recommendation Systems",Big Data Imperatives,,,,10.1007/978-1-4302-4873-6_8,Soumendra MohantyMadhu JagadeeshHarsha Srivatsa,2013,https://link.springer.com/chapter/10.1007/978-1-4302-4873-6_8,Chapter
Self-management of Distributed Systems Using High-Level Goal Policies,Software Engineering for Self-Adaptive Systems II,,,,10.1007/978-3-642-35813-5_7,Liliana RosaLuís RodriguesAntónia Lopes,2013,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_7,Chapter
Hibernate OGM at Work,Pro Hibernate and MongoDB,,,,10.1007/978-1-4302-5795-0_4,Anghel Leonard,2013,https://link.springer.com/chapter/10.1007/978-1-4302-5795-0_4,Chapter
Hibernate OGM and JPA 2.0 Annotations,Pro Hibernate and MongoDB,,,,10.1007/978-1-4302-5795-0_5,Anghel Leonard,2013,https://link.springer.com/chapter/10.1007/978-1-4302-5795-0_5,Chapter
Another look at the middleware for dependable distributed computing,Journal of Internet Services and Applications,,,,10.1007/s13174-011-0055-6,Mark LittleSantosh ShrivastavaStuart Wheater,2011,https://link.springer.com/article/10.1007/s13174-011-0055-6,Article
Integrated Monitoring of Infrastructures and Applications in Cloud Environments,Euro-Par 2011: Parallel Processing Workshops,,,,10.1007/978-3-642-29737-3_6,Roberto PalmieriPierangelo di SanzoFrancesco QuagliaPaolo RomanoSebastiano PelusoDiego Didona,2012,https://link.springer.com/chapter/10.1007/978-3-642-29737-3_6,Conference paper
Using the Session,Beginning Hibernate,,,,10.1007/978-1-4302-2851-6_8,Jeff LinwoodDave Minter,2010,https://link.springer.com/chapter/10.1007/978-1-4302-2851-6_8,Chapter
Best Practices and Advanced Techniques,Spring Persistence with Hibernate,,,,10.1007/978-1-4302-2633-8_9,Paul Tepper FisherBrian D. Murphy,2010,https://link.springer.com/chapter/10.1007/978-1-4302-2633-8_9,Chapter
